rank,company,sales_million_yen,rd_million_yen
1,武田薬品工業,4581551,730200
2,大塚HD,2329861,314200
3,アステラス製薬,1912323,327700
4,第一三共,1886256,432900
5,中外製薬,1170611,181400
6,エーザイ,789400,171600
7,協和キリン,495558,103500
8,小野薬品工業,486871,149900
9,三菱ケミカルG(医薬品),460400,66500
10,塩野義製薬,438268,108600
11,住友ファーマ,398832,49900
12,参天製薬,300004,24100
13,東和薬品,259594,16200
14,旭化成(医薬・医療),245200,23800
15,明治HD(医薬品),229650,23400
16,サワイグループHD,189024,12600
17,ツムラ,181093,8400
18,日本新薬,160232,34300
19,久光製薬,156006,10900
20,帝人(ヘルスケア),136977,
21,杏林製薬,130087,10500
22,持田製薬,105159,11700
23,日本たばこ産業(医薬),94464,33900
24,科研製薬,94035,18700
25,キッセイ薬品工業,88330,12900
26,ゼリア新薬工業,87311,4100
27,日本化薬(ライフサイエンス),65001,
28,あすか製薬HD,64139,7000
29,扶桑薬品工業,60563,1700
30,鳥居薬品,60426,2800
31,アルフレッサHD(医薬品等製造),54065,
32,スズケン(ヘルスケア製品開発),52613,
33,ペプチドリーム,46676,4000
34,富士製薬工業,46138,3400
35,日本調剤(医薬品製造販売),40156,
36,生化学工業,39374,7600
37,JCRファーマ,33072,15400
38,ネクセラファーマ,28835,11800
39,東邦HD(医薬品製造販売),11459,
